Subject,Course Catalog Nbr,Course ID,Class Nbr,Acad Career,Acad Group,Course Descr,FCEF,GFC Hours,Acad Org,Requisite,Enroll Type,Class Assoc,Component,Class Section,Term,Session,Crse Topic ID,Topic Description,Class Notes,Instruction Mode,Class Status,Mtg Nbr,Start Date,End Date,Class Start,Class End,Duration,Meeting Pattern,Alt Week,MON,TUES,WED,THURS,FRI,SAT,SUN,Location,Facility,Room Size,Enroll Stat,Enroll Tot,Enroll Cap,Waitlist Cap,Class Assoc Req,Reserved Cap,Consent,Combined Section,Instructor Name and Role,Crse Units
RELS,399,150417,74445,UGRD,AR,Religion in Popular Culture,H,3-0,CLARE,,E,1,LEC,1,2187,1,12,The Camino de Santiago,,P,A,1,06-Sep-2018,07-Dec-2018,12:30,13:45,75,TR  12:30-13:45,,N,Y,N,Y,N,N,N,MAIN,ICT 116,80,O,71,80,10,,,N,,"Schmidt,Rachel Lynn(PI)",3
RELS,399,150417,15485,UGRD,AR,Religion in Popular Culture,H,3-0,CLARE,,E,1,LEC,1,2191,1,13,Religion in Popular Music,,P,A,1,10-Jan-2019,12-Apr-2019,15:30,18:15,165,T  15:30-18:15,,N,Y,N,N,N,N,N,MAIN,CHC 105,200,O,87,120,10,,,N,,"Ginn,Craig Warryn Clifford(PI)",3
RUSS,355,150437,75534,UGRD,AR,Russian Lit in Translation,H,3-0,LLLC,,E,1,LEC,1,2187,1,5,Tolstoy and Dostoevsky,,P,A,1,06-Sep-2018,07-Dec-2018,14:00,15:15,75,TR  14:00-15:15,,N,Y,N,Y,N,N,N,MAIN,EDC 384,34,O,18,34,20,,,N,,"Conliffe,Mark(PI)",3
RUSS,497,160611,16768,UGRD,AR,Inter-Cultural Immers Exp II,H,3-0,LLLC,,E,1,LEC,1,2191,1,0,,,IS,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Mladenova,Olga M(PI)",3
RVST,599,163178,73395,UGRD,RO,Undergrad Visiting Researcher,,1-0,RO,,E,1,LEC,1,2187,1,0,,,P,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,O,14,15,0,,,D,,,15
RVST,599,163178,14830,UGRD,RO,Undergrad Visiting Researcher,,1-0,RO,,E,1,LEC,1,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,O,17,30,0,,,D,,,15
SCIE,331,161943,11998,UGRD,SC,Scientific Explorations,H,3-0,SC,,E,1,LEC,1,2191,1,0,,,P,A,1,10-Jan-2019,12-Apr-2019,14:00,15:15,75,T  14:00-15:15,,N,Y,N,N,N,N,N,MAIN,TI STUDIOA,72,O,53,55,10,,Y,N,,"Harlick,Anna Maria(PI)",3
SCIE,331,161943,11998,UGRD,SC,Scientific Explorations,H,3-0,SC,,E,1,LEC,1,2191,1,0,,,P,A,2,10-Jan-2019,12-Apr-2019,14:00,15:15,75,R  14:00-15:15,,N,N,N,Y,N,N,N,MAIN,ST 130,60,O,53,55,10,,Y,N,,"Harlick,Anna Maria(PI)",3
SCIE,502B,136328,16187,UGRD,SC,Research Project in NTSC,F,0-9,SC,,E,1,LAB,B01,2191,PB,0,,,P,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,,3
SCIE,502B,136328,16198,UGRD,SC,Research Project in NTSC,F,0-9,SC,,E,2,LAB,B02,2191,PB,0,,,IR,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,,3
SCIE,507,160815,76846,UGRD,SC,ExprntialLearningScieSpclTpcs,H,(3-0)(3-3),SC,,E,1,LEC,1,2187,1,29,Energy and Climate Writing,,P,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,C,1,1,0,,,D,,"Donev,Jason M.K.(PI)",3
SCIE,507,160815,16347,UGRD,SC,ExprntialLearningScieSpclTpcs,H,(3-0)(3-3),GEOS,,E,1,LEC,1,2191,1,30,New Tech in Geoscience,,P,A,1,10-Jan-2019,12-Apr-2019,14:00,16:45,165,M  14:00-16:45,,Y,N,N,N,N,N,N,MAIN,EEEL 151,24,O,5,24,0,,,D,,"Eaton,David WS(AL)/Costa Sousa,Mario(AL)",3
SCPA,503A,163391,76142,UGRD,AR,Travel Study,F,MIN 72 HRS,SCPA,,E,1,LAB,B01,2187,PA,1,NYC: Broadway & Jazz,,P,A,1,31-Oct-2018,05-Dec-2018,18:00,19:50,110,W  18:00-19:50,,N,N,Y,N,N,N,N,MAIN,CHE 012,36,C,22,22,0,,,D,,"Reid,John Charles(PI)",3
SCPA,503B,163389,15835,UGRD,AR,Travel Study,F,MIN 72 HRS,SCPA,,E,1,LAB,B01,2191,PB,1,NYC: Broadway & Jazz,,P,A,1,26-Dec-2018,06-Jan-2019,,,0,TBA,,N,N,N,N,N,N,N,MAIN,,0,O,21,22,0,,,D,,"Reid,John Charles(PI)",3
SENG,501,160058,73555,UGRD,SC,Adv Topics in SENG,H,3-2,ENEC,,E,1,LEC,1,2187,1,5,ENGG Lrg Scale Analytics Sys,,P,A,1,06-Sep-2018,07-Dec-2018,12:30,13:45,75,TR  12:30-13:45,,N,Y,N,Y,N,N,N,MAIN,SA 107,39,O,22,35,0,,,D,C,"Krishnamurthy,Diwakar(PI)",3
SENG,501,160058,73556,UGRD,SC,Adv Topics in SENG,H,3-2,ENEC,,N,1,LAB,B01,2187,1,5,ENGG Lrg Scale Analytics Sys,,P,A,1,06-Sep-2018,07-Dec-2018,15:00,16:50,110,W  15:00-16:50,,N,N,Y,N,N,N,N,MAIN,ENG 203,88,O,22,35,0,,,D,,"Krishnamurthy,Diwakar(PI)",
SLAV,356,164014,15158,UGRD,AR,Perspectives on Eastern Europe,H,3-0,LLLC,,E,1,LEC,1,2191,1,1,Postsocialism,,P,A,1,10-Jan-2019,12-Apr-2019,14:00,14:50,50,MWF  14:00-14:50,,Y,N,Y,N,Y,N,N,MAIN,SB 146,64,O,40,60,20,,,N,,"Mladenova,Olga M(PI)",3
SOCI,590A,163507,74386,UGRD,AR,SOCI Honours Thesis & Sem,F,3S-0,SOCI,,E,1,SEM,S01,2187,PA,0,,,P,A,1,06-Sep-2018,07-Dec-2018,16:00,18:50,170,F  16:00-18:50,,N,N,N,N,Y,N,N,MAIN,ST 129,50,O,9,20,0,,,D,C,"McCoy,Ted(SI)/Ducey,Ariel(SI)",3
SOCI,590B,163506,14192,UGRD,AR,SOCI Honours Thesis & Sem,F,3S-0,SOCI,,E,1,SEM,S01,2191,PB,0,,,P,A,1,10-Jan-2019,12-Apr-2019,16:00,18:50,170,F  16:00-18:50,,N,N,N,N,Y,N,N,MAIN,ST 129,50,O,8,40,0,,,D,C,"McCoy,Ted(SI)/Ducey,Ariel(SI)",3
SOWK,201,137519,10818,UGRD,SW,Introduction To Social Work,H,3-0,SW,,E,1,LEC,1,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,WEB-BASED,1000,C,68,65,0,,,N,,"Ngo,Hieu Van(PI)",3
SOWK,201,137519,13204,UGRD,SW,Introduction To Social Work,H,3-0,SW,,E,2,LEC,2,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,,0,C,80,60,0,Y,,N,,"Fields,Jacqueline Ann(PI)",3
SOWK,300,137529,73568,UGRD,SW,GeneralPracContextThemeCourse,F,6-0,SW,,E,1,LEC,1,2187,1,0,,,WW,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,,0,O,74,86,0,Y,,N,,"Li,Lun(PI)/Ferrer,Ilyan(SI)/Plain Eagle,Iris Kim(SI)/Wilson,Trudy Lynn(SI)/Gulbrandsen,Carolyn (Cari)(SI)/Fields,Jacqueline Ann(SI)",6
SOWK,300,137529,76025,UGRD,SW,GeneralPracContextThemeCourse,F,6-0,SW,,E,2,LEC,2,2187,1,0,,,WW,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,,0,O,79,85,0,Y,,N,,"Li,Lun(PI)/Ferrer,Ilyan(SI)/Plain Eagle,Iris Kim(SI)/Wilson,Trudy Lynn(SI)/Gulbrandsen,Carolyn (Cari)(SI)/Fields,Jacqueline Ann(SI)",6
SOWK,300,137529,76079,UGRD,SW,GeneralPracContextThemeCourse,F,6-0,SW,,E,4,LEC,4,2187,1,0,,Restricted to BSW Learning Circles students in Grande Prairie. This course will be delivered off-site in Grande Prairie.,P,A,1,06-Sep-2018,07-Dec-2018,,,0,TBA,,N,N,N,N,N,N,N,GR PRAIRIE,,0,O,11,15,0,Y,,N,,"Zuk,Gail L(PI)",6
SOWK,302,137531,15305,UGRD,SW,Research Context Theme Course,F,6-0,SW,,E,1,LEC,1,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,,0,O,69,86,0,Y,,N,,"Ferrer,Ilyan(PI)/Ing,Carol(AL)/Li,Lun(AL)/Johnston-Taylor,Nketti Mason(AL)/Lorenzetti,Liza Ann Karen(AL)/Wright,Alysia Christine(AL)/Goulet,Sharon Ann(AL)",6
SOWK,302,137531,15768,UGRD,SW,Research Context Theme Course,F,6-0,SW,,E,2,LEC,2,2191,1,0,,,WW,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,WEB BASED,,0,O,83,85,0,Y,,N,,"Ferrer,Ilyan(PI)/Ing,Carol(AL)/Li,Lun(AL)/Johnston-Taylor,Nketti Mason(AL)/Lorenzetti,Liza Ann Karen(AL)/Goulet,Sharon Ann(AL)/Wright,Alysia Christine(AL)",6
